,Id_Customer,Y,Customer_Type,BirthDate,Customer_Open_Date,P_Client,Educational_Level,Marital_Status,Number_Of_Dependant,Years_At_Residence,Net_Annual_Income,Years_At_Business,Prod_Sub_Category,Prod_Decision_Date,Source,Type_Of_Residence,Nb_Of_Products,Prod_Closed_Date,Prod_Category
523,6925,0,Existing Client,1973-06-27,1993-08-17,NP_Client,Master/PhD,Married,0.0,2,18.0,2.0,C,2012-01-26,Sales,Owned,1,2012-12-23,B
525,2075,0,Existing Client,1982-08-03,2010-12-12,NP_Client,University,Married,1.0,15,30.0,1.0,G,2011-01-08,Sales,Owned,3,2012-06-11,C
537,3332,0,Non Existing Client,1959-01-01,2011-09-15,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-09-22,Sales,Owned,2,2012-08-28,D
538,7169,1,Existing Client,1988-09-01,2012-01-19,NP_Client,University,Single,0.0,15,36.0,1.0,C,2012-02-13,Sales,Owned,1,2012-11-29,L
543,3790,0,Existing Client,1966-05-23,2010-12-26,NP_Client,Master/PhD,Married,0.0,2,18.0,2.0,C,2011-10-24,Sales,Owned,1,2012-08-22,B
544,9029,0,Existing Client,1974-07-01,2012-03-18,NP_Client,University,Married,2.0,5,78.14399999999999,1.0,C,2012-03-30,Branch,Owned,1,2013-03-26,L
553,4634,0,Existing Client,1970-08-12,2010-09-11,NP_Client,University,Married,1.0,11,18.0,2.0,G,2011-10-30,Sales,Owned,1,2013-10-01,B
564,4887,1,Non Existing Client,1966-05-31,2011-10-11,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-11-13,Sales,Owned,1,2012-06-28,B
566,9465,1,Non Existing Client,1964-10-13,2012-04-19,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-04-22,Sales,Owned,1,2012-11-29,B
574,790,0,Non Existing Client,1959-02-13,2011-01-06,NP_Client,University,Married,3.0,20,100.0,1.0,C,2011-06-06,Branch,Owned,1,2012-06-24,B
585,682,1,Existing Client,1985-02-21,2011-03-29,NP_Client,University,Married,2.0,26,38.4,5.0,C,2011-06-13,Sales,Old rent,1,2012-07-31,L
589,2313,1,Non Existing Client,1948-03-11,2011-01-08,NP_Client,University,Widowed,4.0,5,18.0,26.0,C,2011-03-08,Branch,Owned,2,2012-06-03,B
592,111,0,Existing Client,1986-10-23,2010-10-03,NP_Client,University,Married,0.0,10,42.0,1.0,C,2011-11-05,Sales,Owned,1,2013-03-31,K
594,5202,0,Non Existing Client,1968-09-30,2011-05-12,NP_Client,University,Married,3.0,30,25.0,1.0,C,2011-07-12,Sales,Owned,1,2013-01-05,B
595,3284,1,Non Existing Client,1967-06-21,2011-09-15,NP_Client,Master/PhD,Married,2.0,8,100.0,3.0,C,2011-09-18,Branch,Owned,1,2012-12-12,B
598,5283,1,Existing Client,1959-10-30,2011-07-18,NP_Client,University,Married,3.0,20,30.0,9.0,C,2011-12-14,Branch,Owned,1,2012-10-31,K
603,3342,0,Non Existing Client,1984-08-13,2011-09-19,NP_Client,Master/PhD,Married,2.0,22,18.0,2.0,C,2011-09-22,Sales,Owned,1,2013-05-30,B
612,8648,0,Non Existing Client,1987-04-20,2012-03-22,NP_Client,University,Single,0.0,10,36.0,3.0,C,2012-03-25,Sales,Owned,2,2013-02-24,B
614,4644,0,Existing Client,1990-01-01,2011-03-04,NP_Client,University,Single,0.0,20,36.0,0.0,G,2011-11-24,Branch,Owned,2,2013-04-03,B
621,8068,1,Existing Client,1980-09-20,2012-02-13,NP_Client,University,Married,2.0,10,80.4,10.0,C,2012-03-25,Sales,Owned,1,2012-12-31,L
623,380,1,Non Existing Client,1987-01-01,2011-11-05,NP_Client,University,Single,0.0,12,36.0,1.0,C,2011-05-19,Sales,Owned,1,2011-12-29,K
643,2343,1,Existing Client,1985-03-15,2011-08-08,NP_Client,University,Single,0.0,20,42.0,1.0,C,2011-08-15,Branch,Owned,1,2012-10-31,L
645,6200,1,Existing Client,1985-01-07,2011-12-26,NP_Client,University,Single,0.0,20,47.04,2.0,C,2012-01-24,Sales,Owned,1,2013-03-31,L
646,4196,0,Non Existing Client,1981-07-29,2011-04-10,NP_Client,University,Single,0.0,1,36.0,1.0,C,2011-10-19,Branch,Owned,2,2012-07-06,K
653,2676,0,Non Existing Client,1986-10-16,2011-08-25,NP_Client,University,Single,0.0,1,36.0,1.0,C,2011-08-27,Sales,Owned,1,2013-05-29,D
662,9208,1,Non Existing Client,1954-02-10,2012-03-04,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-04-04,Sales,Owned,1,2012-12-31,B
666,1753,0,Non Existing Client,1951-07-30,2011-07-20,NP_Client,Master/PhD,Married,2.0,60,18.0,22.0,C,2011-07-24,Branch,Owned,2,2012-09-04,B
678,1017,0,Non Existing Client,1980-09-27,2011-12-06,NP_Client,University,Married,3.0,1,114.0,9.0,C,2011-06-20,Branch,Owned,2,2012-04-04,B
680,2986,1,Existing Client,1965-05-03,2011-07-31,NP_Client,University,Married,2.0,15,75.0,1.0,C,2011-09-26,Sales,Owned,1,2013-04-30,L
682,256,0,Non Existing Client,1986-01-01,2011-08-05,NP_Client,University,Single,0.0,15,30.0,1.0,C,2011-09-05,Sales,Owned,1,2013-04-30,B
683,3341,0,Non Existing Client,1968-05-05,2011-09-19,NP_Client,University,Married,3.0,20,18.0,22.0,C,2011-09-28,Sales,Owned,1,2012-05-18,D
685,7610,1,Non Existing Client,1983-09-17,2012-02-20,NP_Client,University,Single,0.0,20,24.0,1.0,G,2012-02-21,Branch,Parents,1,2012-09-30,B
690,7651,0,Non Existing Client,1980-04-23,2012-02-21,NP_Client,University,Married,2.0,5,36.0,1.0,C,2012-02-27,Branch,Owned,1,2012-08-27,B
695,5000,0,Non Existing Client,1963-08-30,2011-11-17,NP_Client,Master/PhD,Married,3.0,41,18.0,2.0,C,2011-11-21,Sales,Owned,2,2013-05-03,B
702,2161,1,Existing Client,1975-10-16,2011-05-07,NP_Client,University,Married,0.0,8,23.928,4.0,C,2011-07-31,Branch,Old rent,1,2012-09-30,L
708,203,0,Non Existing Client,1951-10-31,2011-03-05,NP_Client,Master/PhD,Divorced,0.0,20,18.0,20.0,C,2011-04-05,Sales,Owned,1,2012-03-09,B
711,7483,1,Non Existing Client,1988-07-30,2012-02-14,NP_Client,University,Single,0.0,13,60.0,1.0,C,2012-02-15,Sales,Owned,1,2012-07-31,D
715,1735,1,Non Existing Client,1963-01-17,2011-07-17,NP_Client,University,Married,2.0,52,20.0,1.0,C,2011-07-21,Branch,Owned,1,2012-03-29,B
716,5356,1,Non Existing Client,1974-07-11,2011-11-14,NP_Client,University,Married,4.0,10,50.0,10.0,C,2011-05-12,Sales,Owned,1,2013-12-02,B
717,4142,1,Non Existing Client,1983-06-15,2011-10-10,NP_Client,Master/PhD,Single,0.0,9,20.0,1.0,C,2011-10-17,Sales,Owned,1,2012-07-31,C
730,8964,0,Existing Client,1975-03-13,2011-01-23,NP_Client,Master/PhD,Married,5.0,2,84.0,9.0,G,2012-03-27,Branch,Owned,1,2013-05-30,C
732,2166,1,Existing Client,1984-05-07,2011-10-07,NP_Client,University,Divorced,0.0,7,40.32,2.0,C,2011-07-31,Sales,Owned,1,2012-09-30,L
736,1712,0,Non Existing Client,1957-10-26,2011-07-13,NP_Client,University,Married,0.0,30,36.0,1.0,C,2011-07-28,Branch,Owned,2,2012-04-27,B
742,5678,0,Non Existing Client,1988-05-18,2011-11-12,NP_Client,University,Single,0.0,21,18.0,2.0,C,2011-12-13,Sales,Owned,1,2012-03-24,B
747,7083,1,Existing Client,1987-12-10,2011-06-01,NP_Client,University,Single,0.0,25,42.18,3.0,C,2012-01-29,Branch,Owned,1,2012-10-31,L
752,1748,0,Non Existing Client,1977-11-12,2011-07-20,NP_Client,University,Married,2.0,1,20.0,1.0,C,2011-07-28,Sales,Owned,2,2012-06-11,B
756,118,0,Existing Client,1986-07-17,2010-05-24,P_Client,University,Single,0.0,25,32.868,1.0,C,2011-05-24,Sales,Parents,1,2013-02-28,G
758,3348,1,Non Existing Client,1976-06-16,2011-09-18,NP_Client,University,Married,0.0,5,18.0,2.0,C,2011-09-19,Sales,New rent,1,2012-06-28,B
759,3591,0,Existing Client,1963-10-05,2006-05-06,NP_Client,University,Married,2.0,29,50.0,19.0,C,2011-09-27,Branch,Owned,2,2012-06-07,D
774,1324,0,Existing Client,1979-09-14,2011-01-27,P_Client,University,Married,3.0,23,24.564,3.0,C,2011-07-20,Branch,Parents,2,2012-06-24,H
775,708,1,Existing Client,1966-03-06,2011-05-18,NP_Client,University,Married,1.0,15,25.5,3.0,C,2011-06-26,Branch,Owned,1,2013-01-13,L
777,1686,0,Non Existing Client,1951-06-19,2011-07-19,NP_Client,University,Married,0.0,2,36.0,1.0,C,2011-07-22,Sales,New rent,1,2013-03-14,B
786,3434,0,Non Existing Client,1983-12-12,2011-09-18,NP_Client,University,Married,1.0,4,20.0,1.0,C,2011-09-22,Sales,Owned,1,2012-11-29,B
791,8110,0,Non Existing Client,1956-12-20,2012-02-22,NP_Client,University,Married,20.0,18,50.0,10.0,C,2012-02-26,Sales,Owned,1,2013-02-21,B
796,200,0,Non Existing Client,1977-06-16,2011-02-05,NP_Client,University,Married,3.0,4,18.0,1.0,C,2011-03-05,Branch,Owned,2,2012-11-04,B
797,979,1,Non Existing Client,1984-03-23,2011-06-19,NP_Client,University,Single,0.0,3,18.0,1.0,C,2011-06-20,Sales,Owned,2,2012-12-11,B
